id,region,station_name,normalized_name
150,Vysocina,"Vřesová, okres: Sokolov","Vresova,okres:Sokolov"
151,Kralovehradecky,"Děčín, okres: Děčín","Decin,okres:Decin"
152,Kralovehradecky,"Děčín, Boletice nad Labem, okres: Děčín","Decin,BoleticenadLabem,okres:Decin"
153,Kralovehradecky,"Sněžník, okres: Děčín","Sneznik,okres:Decin"
154,Kralovehradecky,"Varnsdorf, okres: Děčín","Varnsdorf,okres:Decin"
155,Kralovehradecky,"Hora Svatého Šebestiána, okres: Chomutov","HoraSvatehoSebestiana,okres:Chomutov"
156,Kralovehradecky,"Chomutov, okres: Chomutov","Chomutov,okres:Chomutov"
157,Kralovehradecky,"Jirkov, okres: Chomutov","Jirkov,okres:Chomutov"
158,Kralovehradecky,"Jirkov, Pesvice, okres: Chomutov","Jirkov,Pesvice,okres:Chomutov"
159,Kralovehradecky,"Jirkov, Újezd, okres: Chomutov","Jirkov,Ujezd,okres:Chomutov"
160,Kralovehradecky,"Kadaň, okres: Chomutov","Kadan,okres:Chomutov"
161,Kralovehradecky,"Kalek, okres: Chomutov","Kalek,okres:Chomutov"
162,Kralovehradecky,"Měděnec, okres: Chomutov","Medenec,okres:Chomutov"
163,Kralovehradecky,"Otvice, okres: Chomutov","Otvice,okres:Chomutov"
164,Kralovehradecky,"Výsluní, okres: Chomutov","Vysluni,okres:Chomutov"
165,Kralovehradecky,"Doksany, okres: Litoměřice","Doksany,okres:Litomerice"
166,Kralovehradecky,"Hněvice, okres: Litoměřice","Hnevice,okres:Litomerice"
167,Kralovehradecky,"Mšené-lázně, okres: Litoměřice","Msene-lazne,okres:Litomerice"
168,Kralovehradecky,"Roudnice nad Labem, okres: Litoměřice","RoudnicenadLabem,okres:Litomerice"
169,Kralovehradecky,"Blšany, okres: Louny","Blsany,okres:Louny"
170,Kralovehradecky,"Hříškov, okres: Louny","Hriskov,okres:Louny"
171,Kralovehradecky,"Lenešice, okres: Louny","Lenesice,okres:Louny"
172,Kralovehradecky,"Louny, okres: Louny","Louny,okres:Louny"
173,Kralovehradecky,"Podbořany, okres: Louny","Podborany,okres:Louny"
174,Kralovehradecky,"Smolnice, okres: Louny","Smolnice,okres:Louny"
175,Kralovehradecky,"Strojetice, okres: Louny","Strojetice,okres:Louny"
176,Kralovehradecky,"Žatec, okres: Louny","Zatec,okres:Louny"
177,Kralovehradecky,"Havraň, okres: Most","Havran,okres:Most"
178,Kralovehradecky,"Litvínov, okres: Most","Litvinov,okres:Most"
179,Kralovehradecky,"Most, Evěnice, okres: Most","Most,Evenice,okres:Most"
180,Kralovehradecky,"Most, Komořany, okres: Most","Most,Komorany,okres:Most"
181,Kralovehradecky,"Nová Ves v Horách, okres: Most","NovaVesvHorach,okres:Most"
182,Kralovehradecky,"Bořislav, okres: Teplice","Borislav,okres:Teplice"
183,Kralovehradecky,"Cínovec, okres: Teplice","Cinovec,okres:Teplice"
184,Kralovehradecky,"Dubí, okres: Teplice","Dubi,okres:Teplice"
185,Kralovehradecky,"Teplice, okres: Teplice","Teplice,okres:Teplice"
186,Kralovehradecky,"Ústí nad Labem, okres: Ústí nad Labem","UstinadLabem,okres:UstinadLabem"
187,Kralovehradecky,"Ústí nad Labem, Kočkov, okres: Ústí nad Labem","UstinadLabem,Kockov,okres:UstinadLabem"
