id,branch,station_name
62,Ceske_Budejovice,C2CERN01
63,Ceske_Budejovice,C2BORK01
64,Ceske_Budejovice,C1KTIS01
65,Ceske_Budejovice,C1KHOR01
66,Ceske_Budejovice,C2VBRO01
67,Ceske_Budejovice,C2TABO01
68,Ceske_Budejovice,C2NADV01
69,Ceske_Budejovice,C2JHRA01
70,Ceske_Budejovice,C2BYNO01
71,Ceske_Budejovice,C1VRAZ01
72,Ceske_Budejovice,C1ROZM01
73,Ceske_Budejovice,C1HUSI01
74,Ceske_Budejovice,C1CERP01
75,Ceske_Budejovice,C2CBUD01
76,Ceske_Budejovice,C1TEME01
77,Ceske_Budejovice,C1KOCE01
78,Ceske_Budejovice,C1CHUR01
79,Ceske_Budejovice,C1NALH01
80,Ceske_Budejovice,C4STHU01
81,Ceske_Budejovice,C4ZBYT01
82,Ceske_Budejovice,C4VETR01
83,Ceske_Budejovice,C1STRZ01
84,Ceske_Budejovice,C4JAPI01
85,Ceske_Budejovice,C4ZLST01
86,Ceske_Budejovice,C2OLSI01
87,Hradec_Kralove,H1CSKL01
88,Hradec_Kralove,H4DDHP01
89,Hradec_Kralove,H3ZBYS01
90,Hradec_Kralove,H1ZACL01
91,Hradec_Kralove,H1TEPZ01
92,Hradec_Kralove,H7ORZA01
93,Hradec_Kralove,H1TRUT01
94,Hradec_Kralove,H3HRUS01
95,Hradec_Kralove,H3CASL01
96,Hradec_Kralove,H3SKUT01
97,Hradec_Kralove,H2KRAL01
98,Hradec_Kralove,H3SVOD01
99,Hradec_Kralove,H3RADO01
100,Hradec_Kralove,H3NBYD01
101,Hradec_Kralove,H3LIBC01
102,Hradec_Kralove,H3LBEL01
103,Hradec_Kralove,H2ZAMB01
104,Hradec_Kralove,H7SNEZ01
105,Hradec_Kralove,H7ADRS01
106,Hradec_Kralove,H3SECA01
107,Hradec_Kralove,H3PODE01
108,Hradec_Kralove,H3MOKO01
109,Hradec_Kralove,H3JICI01
110,Hradec_Kralove,H3HRAD01
111,Hradec_Kralove,H3HOLO01
112,Hradec_Kralove,H3GAJE01
113,Hradec_Kralove,H3BROU01
114,Hradec_Kralove,H2RYCH01
